title,rating,reviews,type,address,phone,website,latitude,longitude,dine_in,drive_through,no_contact_delivery,city
Summit Cafe,0.0,0,restaurants,Prince Mohammed Bin Fahd University,,,26.2789629,50.2012746,,,,Khobar
Dose,4.4,159,restaurants,Al Bayoniya Area,,,26.3444341,50.18568639999999,,,,Khobar
Herfy,4.5,335,restaurants,Al Bayoniya Area,,,26.334098,50.17984,,,,Khobar
Baith Al Karak,4.3,28,restaurants,West Dammam Al Faisaliyah,,,26.3925826,50.0314809,,,,Dammam
Sweet And Salty,4.4,510,restaurants,West Dammam Al Faisaliyah,,,26.3663877,50.0697467,,,,Dammam
Hamburgini Burger,3.8,1860,restaurants,Jubail Industrial City,,,27.001312,49.659598,,,,Jubail
Shawarma Factory,4.2,18,restaurants,Jubail Industrial City,,,27.0013175,49.65961679999999,,,,Jubail
PAPA JOHNS PIZZA,3.8,838,restaurants,Jubail Industrial City,,,27.0013175,49.65961679999999,,,,Jubail
Atlal Al Andalus,4.5,49,restaurants,Jubail Industrial City,,,26.9928764,49.6511962,,,,Jubail
Mashkuk Bahab,4.2,1044,restaurants,Jubail Industrial City,,,27.0016764,49.65992440000001,,,,Jubail
Al Baik,3.9,4291,restaurants,Jubail Industrial City,,,27.0016764,49.65992440000001,,,,Jubail
Sweet More,3.8,49,restaurants,Jubail Industrial City,,,27.0088957,49.65954369999999,,,,Jubail
Signature,4.5,720,restaurants,Jubail Industrial City,,,27.001714,49.659997,,,,Jubail
Grilled Chicken Crispy,4.1,159,restaurants,Jubail Industrial City,,,27.008091,49.660016,,,,Jubail
Burgerizzr,4.3,743,restaurants,Jubail Industrial City,,,27.0015489,49.6601583,,,,Jubail
Fit House,4.6,70,restaurants,Jubail Industrial City,,,27.000165,49.65978,,,,Jubail
Okashi,4.4,388,restaurants,Jubail Industrial City,,,27.001054,49.660135,,,,Jubail
Hazel,4.0,4,restaurants,Al Khobar Gate,,,26.3031204,50.1780306,,,,Khobar
Baskin Robbins,4.8,42,restaurants,Dammam Corniche,,,26.4368125,50.1304375,,,,Dammam
N2,3.8,21,restaurants,Al Waha District,,,26.4226303,50.09160019999999,,,,Dammam
CHEF WARD,4.2,35,restaurants,Central Dammam Al Danah,,,26.377854,50.049028,,,,Dammam
Pastry Hut,4.5,338,restaurants,Central Dammam Al Danah,,,26.3653658,50.07044059999999,,,,Dammam
Ensalada,4.6,117,restaurants,Central Dammam Al Danah,,,26.45216441750255,50.08066393928681,,,,Dammam
Kudu,4.5,725,restaurants,Al Rakah,,,26.364603,50.200236,,,,Khobar
Destination35,4.3,7,restaurants,Al Rakah,,,26.360165,50.206536,,,,Khobar
Patchi,5.0,1,restaurants,Al Khobar Promenade,,,26.41152477978601,50.10828817175826,,,,Khobar
Sheikha Sweets,4.6,134,restaurants,East Dammam Al Adamah,,,26.416191,50.024755,,,,Dammam
Antar sandwich,3.0,3,restaurants,East Dammam Al Adamah,,,26.4372967,50.0542209,,,,Dammam
La Casa Pasta,4.3,1149,restaurants,King Fahd Park Dammam,,,26.40374,50.05739,,,,Dammam
Okashi,4.2,405,restaurants,King Fahd Park Dammam,,,26.40374,50.05739,,,,Dammam
Canton,4.3,857,restaurants,King Fahd Park Dammam,,,26.403725849999997,50.057313,,,,Dammam
Hamburgini Burger,3.6,2807,restaurants,King Fahd Park Dammam,,,26.403658,50.0572676,,,,Dammam
Shawar Munch,4.5,149,restaurants,Aramco Residential Compound,,,26.31881434173196,50.20832134377441,,,,Dhahran
Noodle Way,3.5,4,restaurants,Al Waha District,,,26.4551018,50.1057461,,,,Dammam
Mission Wok,3.0,4,restaurants,Al Waha District,,,26.4551018,50.1057461,,,,Dammam
WARAQ ENAB EALAM ALMAHASHY,3.5,22,restaurants,Central Dammam Al Danah,,,26.4186072,50.0180672,,,,Dammam
WARAQ ENAB DHUQ ALMAHASHY,3.5,113,restaurants,Central Dammam Al Danah,,,26.4186072,50.0180672,,,,Dammam
